4864,0.11169,0.04332,0.0908
4928,0.11832,0.05853,0.0892
4992,0.11323,0.05283,0.08122
5056,0.10174,0.05473,0.08302
5120,0.10881,0.05283,0.06905
5184,0.10771,0.04332,0.07164
5248,0.09135,0.06234,0.06147
5312,0.08273,0.06234,0.06346
5376,0.08317,0.05283,0.06705
5440,0.08008,0.06043,0.06187
5504,0.09356,0.03951,0.05847
5568,0.07853,0.04142,0.05687
5632,0.07787,0.05093,0.05827
5696,0.08362,0.05093,0.05069
5760,0.07588,0.03,0.05967
5824,0.07544,0.03761,0.04869
5888,0.07654,0.03761,0.05009
5952,0.06615,0.05093,0.05288
6016,0.06461,0.0243,0.04291
6080,0.0624,0.03381,0.04889
6144,0.06041,0.03761,0.04071
6208,0.06593,0.0281,0.0449
6272,0.05598,0.02049,0.04031
6336,0.05577,0.03571,0.0445
6400,0.054,0.0224,0.04151
6464,0.0593,0.02049,0.03632
6528,0.05997,0.04142,0.03832
6592,0.04295,0.03191,0.03033
6656,0.04869,0.03,0.03552
6720,0.04405,0.03191,0.03532
6784,0.04737,0.02049,0.03592
6848,0.04715,0.01289,0.02993
6912,0.04295,0.0243,0.03393
6976,0.04405,0.02049,0.03013
7040,0.04648,0.0262,0.02954
7104,0.04361,0.03,0.03313
7168,0.03455,0.03,0.02814
7232,0.04206,0.01859,0.02614
7296,0.03455,0.01669,0.02714
7360,0.03875,0.0243,0.02794
7424,0.03963,0.01479,0.02534
7488,0.03919,0.0281,0.02574
7552,0.033,0.0281,0.02475
7616,0.03278,0.01669,0.02415
7680,0.03189,0.04142,0.02335
7744,0.03698,0.03,0.02075
7808,0.03167,0.02049,0.02135
7872,0.03388,0.01479,0.02295
7936,0.03167,0.0243,0.02095
8000,0.03167,0.0281,0.02095
8064,0.03212,0.0224,0.02155
8128,0.03388,0.03191,0.02355
8192,0.02372,0.03191,0.02095
8256,0.02991,0.03191,0.02155
8320,0.02747,0.0243,0.02235
8384,0.0288,0.01859,0.01816
8448,0.0235,0.0262,0.01996
8512,0.02327,0.0243,0.01616
8576,0.02261,0.01098,0.01936
8640,0.02681,0.00908,0.02095
8704,0.02482,0.01669,0.01956
8768,0.02084,0.01669,0.01537
8832,0.0204,0.00908,0.01397
8896,0.01907,0.00528,0.01636
8960,0.01863,0.01289,0.01656
9024,0.01664,0.01098,0.01497
9088,0.01885,0.01669,0.01676
9152,0.01664,0.02049,0.01517
9216,0.01731,0.01098,0.01597
9280,0.01907,0.01098,0.01217
9344,0.01598,0.01098,0.01417
9408,0.01996,0.01479,0.01577
9472,0.01819,0.00718,0.01736
9536,0.01664,0.01289,0.01038
9600,0.01797,0.01479,0.00918
9664,0.01576,0.00528,0.01257
9728,0.01576,0.01098,0.01237
9792,0.01775,0.01479,0.01197
9856,0.0109,0.00908,0.01197
9920,0.01222,0.01669,0.00998
9984,0.01532,0.01098,0.01078
10048,0.01333,0.01098,0.01417
10112,0.01488,0.00908,0.00798
10176,0.01333,0.00718,0.01157
10240,0.01311,0.00908,0.01277
10304,0.00802,0.01098,0.01277
10368,0.01311,0.00147,0.00978
10432,0.00979,0.01859,0.01058
10496,0.01355,0.00338,0.00978
10560,0.01134,0.00908,0.01157
10624,0.01023,0.00147,0.00918
10688,0.01068,0.01098,0.00918
10752,0.01023,0.00718,0.01018
10816,0.01134,0.00528,0.00659
10880,0.01222,0.00718,0.01217
10944,0.01355,0.01289,0.01157
11008,0.00913,0.01289,0.00898
11072,0.01045,0.00908,0.01018
11136,0.00714,0.00908,0.00778
11200,0.01267,0.01098,0.00798
11264,0.01001,0.00147,0.01038
11328,0.01112,0.00528,0.01018
11392,0.00736,0.00718,0.00718
11456,0.00913,0.00718,0.00978
11520,0.01333,0.00147,0.00978
11584,0.00957,0.00528,0.00698
11648,0.00802,0.01098,0.00878
11712,0.00714,0.00718,0.00758
11776,0.00891,0.00338,0.00878
11840,0.00449,0.00718,0.01018
11904,0.00603,0.00528,0.00718
11968,0.00648,0.00528,0.00718
12032,0.00758,0.00908,0.00698
12096,0.00515,0.01289,0.00718
12160,0.00427,0.00908,0.00559
12224,0.00758,0.00718,0.00798
12288,0.0067,0.00528,0.00778
12352,0.00692,0.00528,0.00718
12416,0.00847,0.01289,0.00639
12480,0.00869,0.00908,0.00698
12544,0.00692,0.01098,0.00818
12608,0.00515,0.00908,0.00539
12672,0.00869,0.00908,0.00639
12736,0.00272,0.00908,0.00778
